Position,State,Member,Party,Chamber,Geography,Region,Division,MALELFP,FEMALELFP,MARRIEDRATE,TOTALHHs,MARRIEDwKIDS,COHABITwKIDS,SINGDADwKIDS,SINGMOMwKIDS,KIDSPRESENTHH,ALLFERTILITY,UNMARRFERTILITY,FERTILITYRATE,MARRIEDFERTILITY,MARRIEDwKIDSpct,Abbrev,DEM.,REP.,FIPS,DemxHouse.y,GOPxHouse.y,Note,Flip
"Congressional District 12 (118th Congress), Florida",Florida,Gus M. Bilirakis,Republican ,12,5001800US1212,South,South Atlantic,0.5558429696905827,0.46870626476651966,50.6,312540,44894,6419,3787,11874,24.5,6336,2329,42,4007,14.4,FL,0.43,0.56,12,0.28999999999999998,0.71,NA,NA
"Congressional District 13 (118th Congress), Florida",Florida,Anna Paulina Luna,Republican ,13,5001800US1213,South,South Atlantic,0.612472896296273,0.5332884710768971,46.4,332538,36911,4830,3469,12312,19.7,6686,2319,46,4367,11.1,FL,0.43,0.56,12,0.45,0.55000000000000004,NA,NA
"Congressional District 14 (118th Congress), Florida",Florida,Kathy Castor,Democratic ,14,5001800US1214,South,South Atlantic,0.709765919555905,0.6290607846191912,40.8,320558,43939,7516,3832,17506,25.6,9241,3585,48,5656,13.7,FL,0.43,0.56,12,0.56999999999999995,0.42,NA,NA
"Congressional District 15 (118th Congress), Florida",Florida,Laurel Lee,Republican ,15,5001800US1215,South,South Atlantic,0.6637293229252887,0.5655170490289352,45.9,294359,51573,7874,3416,15187,29.7,9100,3880,49,5220,17.5,FL,0.43,0.56,12,0.44,0.56000000000000005,NA,NA
"Congressional District 16 (118th Congress), Florida",Florida,Vern Buchanan,Republican ,16,5001800US1216,South,South Atlantic,0.6378838300806109,0.5368883058312148,52.8,295133,49477,5749,3091,12169,27.1,7829,2880,48,4949,16.8,FL,0.43,0.56,12,0.41,0.59,NA,NA
"Congressional District 17 (118th Congress), Florida",Florida,Greg Steube,Republican ,17,5001800US1217,South,South Atlantic,0.5258651911775,0.4514747228637739,54.4,339651,36586,5370,2719,10457,18.6,6077,2368,47,3709,10.8,FL,0.43,0.56,12,0.36,0.64,NA,NA
"Congressional District 18 (118th Congress), Florida",Florida,Scott Franklin,Republican ,18,5001800US1218,South,South Atlantic,0.5872886528526752,0.4892662841372675,47.2,284392,46123,9483,3215,14082,30.0,8331,3695,50,4636,16.2,FL,0.43,0.56,12,0.35,0.65,NA,NA
"Congressional District 19 (118th Congress), Florida",Florida,Byron Donalds,Republican ,19,5001800US1219,South,South Atlantic,0.5535631278071426,0.46133791911470445,54.1,331600,37250,5503,3252,10009,18.4,6617,2448,50,4169,11.2,FL,0.43,0.56,12,0.34,0.66,NA,NA
"Congressional District 20 (118th Congress), Florida",Florida,Sheila Cherfilus-McCormick,Democratic ,20,5001800US1220,South,South Atlantic,0.6944340551687695,0.6183238440171268,38.6,280213,38265,8448,3659,20855,30.2,11230,5046,61,6184,13.7,FL,0.43,0.56,12,0,--,NA,NA
"Congressional District 21 (118th Congress), Florida",Florida,Brian Mast,Republican ,21,5001800US1221,South,South Atlantic,0.6090047765449972,0.5150848108250762,50.8,310687,44990,5710,2993,12563,23.9,7832,2597,53,5235,14.5,FL,0.43,0.56,12,0.38,0.62,NA,NA
"Congressional District 22 (118th Congress), Florida",Florida,Lois Frankel,Democratic ,22,5001800US1222,South,South Atlantic,0.6528614577411332,0.53174596011108,46.6,303688,42311,6490,3773,11836,24.0,7258,2858,47,4400,13.9,FL,0.43,0.56,12,0.55000000000000004,0.45,NA,NA
"Congressional District 23 (118th Congress), Florida",Florida,Jared Evan Moskowitz,Democratic ,23,5001800US1223,South,South Atlantic,0.6833909758857561,0.5724132173138649,47.1,321449,48968,5410,3302,11946,23.5,7601,1869,47,5732,15.2,FL,0.43,0.56,12,0.52,0.48,NA,NA
"Congressional District 24 (118th Congress), Florida",Florida,Frederica S. Wilson,Democratic ,24,5001800US1224,South,South Atlantic,0.6926560398325402,0.5868549644562855,38.3,288751,37867,7006,4135,20956,28.9,9166,4345,49,4821,13.1,FL,0.43,0.56,12,0.68,0.32,NA,NA
"Congressional District 25 (118th Congress), Florida",Florida,Debbie Wasserman Schultz,Democratic ,25,5001800US1225,South,South Atlantic,0.7272869802095003,0.6124514182409151,47.5,282554,55893,6391,3980,15771,32.1,6644,2127,36,4517,19.8,FL,0.43,0.56,12,0.54,0.46,NA,NA
"Congressional District 26 (118th Congress), Florida",Florida,Mario Diaz-Balart,Republican ,26,5001800US1226,South,South Atlantic,0.680027252469755,0.5607030132662623,46.5,268868,46435,9732,2603,15607,31.9,8189,3563,48,4626,17.3,FL,0.43,0.56,12,0.28999999999999998,0.71,NA,NA
"Congressional District 27 (118th Congress), Florida",Florida,Maria Elvira Salazar,Republican ,27,5001800US1227,South,South Atlantic,0.7176572060929567,0.5869789419242692,43.7,288622,45038,6454,2227,14209,26.5,7079,2528,40,4551,15.6,FL,0.43,0.56,12,0.4,0.6,NA,NA
"Congressional District 28 (118th Congress), Florida",Florida,Carlos Gimenez,Republican ,28,5001800US1228,South,South Atlantic,0.687717446864643,0.5772856406999048,46.8,246688,49315,9782,3536,15098,36.6,7798,3076,44,4722,20.0,FL,0.43,0.56,12,0.35,0.65,NA,NA
"Congressional District 1 (118th Congress), Georgia",Georgia,Earl Carter,Republican ,1,5001800US1301,South,South Atlantic,0.6655532218768377,0.5670634717019858,46.0,289480,46467,6676,3225,20404,30.3,10458,4394,57,6064,16.1,GA,0.49,0.51,13,0.38,0.62,NA,NA
"Congressional District 2 (118th Congress), Georgia",Georgia,Sanford Bishop Jr.,Democratic ,2,5001800US1302,South,South Atlantic,0.5905442436435534,0.5410559312686849,38.2,285268,36850,6417,3890,28931,31.0,9456,4971,53,4485,12.9,GA,0.49,0.51,13,0.56000000000000005,0.44,NA,NA
"Congressional District 3 (118th Congress), Georgia",Georgia,Brian Jack,Republican ,3,5001800US1303,South,South Atlantic,0.6657918029369448,0.5526755351228122,51.3,280625,54942,6212,3023,17108,33.9,8886,3450,49,5436,19.6,GA,0.49,0.51,13,0.34,0.66,New member,NA
"Congressional District 4 (118th Congress), Georgia",Georgia,Hank Johnson,Democratic ,4,5001800US1304,South,South Atlantic,0.7251892443332967,0.6413433846934324,39.0,281034,42993,6294,2650,20618,30.4,9015,3396,45,5619,15.3,GA,0.49,0.51,13,0.76,0.24,NA,NA
"Congressional District 5 (118th Congress), Georgia",Georgia,Nikema Williams,Democratic ,5,5001800US1305,South,South Atlantic,0.7105728091976452,0.6442391223410856,31.5,334653,33934,3796,3215,22409,21.5,9393,4398,44,4995,10.1,GA,0.49,0.51,13,0.86,0.14000000000000001,NA,NA
"Congressional District 6 (118th Congress), Georgia",Georgia,Rich McCormick,Republican ,6,5001800US1306,South,South Atlantic,0.7709914678809606,0.6192002527388267,60.0,278450,84051,3013,3598,9515,37.9,8635,1201,48,7434,30.2,GA,0.49,0.51,13,0.75,0.25,NA,NA
"Congressional District 7 (118th Congress), Georgia",Georgia,Lucy McBath,Democratic ,7,5001800US1307,South,South Atlantic,0.7462901831191517,0.6221845002332808,51.6,258882,66139,4979,3627,17337,39.4,9390,2388,48,7002,25.5,GA,0.49,0.51,13,0.35,0.65,NA,NA
"Congressional District 8 (118th Congress), Georgia",Georgia,Austin Scott,Republican ,8,5001800US1308,South,South Atlantic,0.6204967207537382,0.5351222068273802,45.4,278737,47967,6394,3749,20453,32.8,10887,4161,61,6726,17.2,GA,0.49,0.51,13,0.31,0.69,NA,NA
"Congressional District 9 (118th Congress), Georgia",Georgia,Andrew Clyde,Republican ,9,5001800US1309,South,South Atlantic,0.6670874614179682,0.5498409652029957,54.0,269790,58205,4777,3233,11716,32.9,9792,2587,56,7205,21.6,GA,0.49,0.51,13,0.31,0.69,NA,NA
"Congressional District 10 (118th Congress), Georgia",Georgia,Mike Collins,Republican ,10,5001800US1310,South,South Atlantic,0.6679585132691102,0.5746981994324606,49.1,276780,55744,6029,2855,15738,33.5,9210,2968,48,6242,20.1,GA,0.49,0.51,13,0.37,0.63,NA,NA
"Congressional District 11 (118th Congress), Georgia",Georgia,Barry Loudermilk,Republican ,11,5001800US1311,South,South Atlantic,0.745406815425258,0.6356406665512738,50.8,292238,62741,4710,3808,13935,32.1,9018,1808,46,7210,21.5,GA,0.49,0.51,13,0.33,0.67,NA,NA
"Congressional District 12 (118th Congress), Georgia",Georgia,Rick Allen,Republican ,12,5001800US1312,South,South Atlantic,0.621196530446312,0.5542802425379729,40.9,268710,41116,5274,3435,21930,31.3,8654,4436,48,4218,15.3,GA,0.49,0.51,13,0.4,0.6,NA,NA
"Congressional District 13 (118th Congress), Georgia",Georgia,David Scott,Democratic ,13,5001800US1313,South,South Atlantic,0.7136278500427691,0.6533526110411517,40.0,278069,43559,8846,3384,25844,34.2,12065,5090,59,6975,15.7,GA,0.49,0.51,13,0.72,0.28000000000000003,NA,NA
"Congressional District 14 (118th Congress), Georgia",Georgia,Marjorie Taylor Greene,Republican ,14,5001800US1314,South,South Atlantic,0.6765282270441291,0.5656655818000194,51.0,273774,58857,5615,4157,16205,35.8,9295,3216,51,6079,21.5,GA,0.49,0.51,13,0.36,0.64,NA,NA
"Congressional District 1 (118th Congress), Hawaii",Hawaii,Ed Case,Democratic ,1,5001800US1501,West,Pacific,0.7047297455582291,0.6079117131752244,48.8,249709,44741,4443,2104,8215,29.1,8790,2379,55,6411,17.9,HI,0.61,0.37,15,0.72,0.28000000000000003,NA,NA
"Congressional District 2 (118th Congress), Hawaii",Hawaii,Jill Tokuda,Democratic ,2,5001800US1502,West,Pacific,0.6726352359362514,0.5980349344978166,50.0,234197,42026,6971,3385,8271,32.4,9265,2907,60,6358,17.9,HI,0.61,0.37,15,0.66,0.3,NA,NA
"Congressional District 1 (118th Congress), Idaho",Idaho,Russ Fulcher,Republican ,1,5001800US1601,West,Mountain,0.6557751525365584,0.5571364672888477,55.7,340673,75122,7950,5497,11718,32.3,10469,2196,51,8273,22.1,ID,0.3,0.67,16,0.25,0.71,NA,NA
"Congressional District 2 (118th Congress), Idaho",Idaho,Michael K. Simpson,Republican ,2,5001800US1602,West,Mountain,0.7157790456316391,0.587235072664591,52.0,334650,74653,7393,4318,11785,32.0,13624,2439,61,11185,22.3,ID,0.3,0.67,16,0.31,0.61,NA,NA
"Congressional District 1 (118th Congress), Illinois",Illinois,Jonathan Jackson,Democratic ,1,5001800US1701,Midwest,NE Central,0.6611805738821566,0.603297548109501,38.4,295506,42002,4291,2748,23440,28.8,9336,4159,51,5177,14.2,IL,0.54,0.44,17,0.66,0.34,NA,NA
"Congressional District 2 (118th Congress), Illinois",Illinois,Robin Kelly,Democratic ,2,5001800US1702,Midwest,NE Central,0.6396015771203268,0.584890141058125,36.9,293157,35139,6872,4976,26776,29.9,10139,6361,57,3778,12.0,IL,0.54,0.44,17,0.67,0.33,NA,NA
"Congressional District 3 (118th Congress), Illinois",Illinois,Delia Ramirez,Democratic ,3,5001800US1703,Midwest,NE Central,0.7642604593395367,0.6338377228585533,44.7,267519,51645,6446,2744,13372,31.4,8518,2422,45,6096,19.3,IL,0.54,0.44,17,0.67,0.33,NA,NA
"Congressional District 4 (118th Congress), Illinois",Illinois,Jesus Garcia,Democratic ,4,5001800US1704,Midwest,NE Central,0.6933672236796886,0.5632637614111039,44.2,241826,52922,8549,3169,13535,37.2,7513,2696,42,4817,21.9,IL,0.54,0.44,17,0.64,0.31,NA,NA
"Congressional District 5 (118th Congress), Illinois",Illinois,Mike Quigley,Democratic ,5,5001800US1705,Midwest,NE Central,0.774019276210646,0.6670922779849925,49.0,328890,61587,2906,1943,7733,23.8,9459,910,49,8549,18.7,IL,0.54,0.44,17,0.69,0.31,NA,NA
"Congressional District 6 (118th Congress), Illinois",Illinois,Sean Casten,Democratic ,6,5001800US1706,Midwest,NE Central,0.718880229793045,0.5913586003955683,53.5,292982,63279,4232,2334,9324,29.2,9367,1736,58,7631,21.6,IL,0.54,0.44,17,0.54,0.46,NA,NA
"Congressional District 7 (118th Congress), Illinois",Illinois,Danny K. Davis,Democratic ,7,5001800US1707,Midwest,NE Central,0.694411833354816,0.6441634277774648,33.0,320763,31889,5452,2208,21726,22.7,9638,3821,47,5817,9.9,IL,0.54,0.44,17,0.83,0.17,NA,NA
"Congressional District 8 (118th Congress), Illinois",Illinois,Raja Krishnamoorthi,Democratic ,8,5001800US1708,Midwest,NE Central,0.7675131655939146,0.6399399982236316,53.6,278701,63651,6405,2400,11250,32.8,9074,2145,52,6929,22.8,IL,0.54,0.44,17,0.56999999999999995,0.43,NA,NA
"Congressional District 9 (118th Congress), Illinois",Illinois,Jan Schakowsky,Democratic ,9,5001800US1709,Midwest,NE Central,0.7249005537274181,0.6130777831017409,49.0,303815,57208,3992,3136,9421,26.1,7759,926,44,6833,18.8,IL,0.54,0.44,17,0.64,0.36,NA,NA
"Congressional District 10 (118th Congress), Illinois",Illinois,Brad Schneider,Democratic ,10,5001800US1710,Midwest,NE Central,0.7419458688040358,0.6044804298646314,54.0,272813,65591,5176,2869,11078,33.7,7656,1934,46,5722,24.0,IL,0.54,0.44,17,0.6,0.4,NA,NA
"Congressional District 11 (118th Congress), Illinois",Illinois,Bill Foster,Democratic ,11,5001800US1711,Midwest,NE Central,0.7552189430941155,0.6355622210842051,54.3,275575,67761,5702,3036,12160,34.8,9384,2715,54,6669,24.6,IL,0.54,0.44,17,0.56000000000000005,0.44,NA,NA
"Congressional District 12 (118th Congress), Illinois",Illinois,Mike Bost,Republican ,12,5001800US1712,Midwest,NE Central,0.6194311071839286,0.5609283882278191,51.4,301706,54032,7490,4428,12719,29.0,9448,2733,61,6715,17.9,IL,0.54,0.44,17,0.26,0.74,NA,NA
"Congressional District 13 (118th Congress), Illinois",Illinois,Nikki Budzinski,Democratic ,13,5001800US1713,Midwest,NE Central,0.6490719608991578,0.5836105440891106,40.6,311715,42528,7115,3837,19396,26.2,9432,4432,51,5000,13.6,IL,0.54,0.44,17,0.56999999999999995,0.43,NA,NA
"Congressional District 14 (118th Congress), Illinois",Illinois,Lauren Underwood,Democratic ,14,5001800US1714,Midwest,NE Central,0.7379302180053106,0.6337977788951168,50.3,263880,65321,7828,3372,13975,37.4,9298,2475,50,6823,24.8,IL,0.54,0.44,17,0.54,0.46,NA,NA
"Congressional District 15 (118th Congress), Illinois",Illinois,Mary Miller,Republican ,15,5001800US1715,Midwest,NE Central,0.6449998523239291,0.566002662959792,52.5,303789,53258,6994,3602,11958,27.3,8770,2493,57,6277,17.5,IL,0.54,0.44,17,--,1,NA,NA
"Congressional District 16 (118th Congress), Illinois",Illinois,Darin LaHood,Republican ,16,5001800US1716,Midwest,NE Central,0.6846612924327969,0.5803467710708601,55.7,301314,59783,6896,3691,11186,29.3,8388,2297,53,6091,19.8,IL,0.54,0.44,17,--,1,NA,NA
"Congressional District 17 (118th Congress), Illinois",Illinois,Eric Sorensen,Democratic ,17,5001800US1717,Midwest,NE Central,0.6304038962129482,0.5776005873904279,42.3,314810,41004,8821,3917,19927,26.2,9646,4944,56,4702,13.0,IL,0.54,0.44,17,0.54,0.46,NA,NA
"Congressional District 1 (118th Congress), Indiana",Indiana,Frank Mrvan,Democratic ,1,5001800US1801,Midwest,NE Central,0.6543244952697926,0.566965761817392,45.6,291940,48497,8232,4162,18779,30.8,9841,4386,58,5455,16.6,IN,0.4,0.59,18,0.53,0.45,NA,NA
"Congressional District 2 (118th Congress), Indiana",Indiana,Rudy Yakym,Republican ,2,5001800US1802,Midwest,NE Central,0.691358024691358,0.5774213983262761,48.3,282545,51096,7740,3640,14611,30.3,8584,3202,51,5382,18.1,IN,0.4,0.59,18,0.35,0.63,NA,NA
"Congressional District 3 (118th Congress), Indiana",Indiana,Marlin Stutzman,Republican ,3,5001800US1803,Midwest,NE Central,0.7153878592217238,0.5886214294615522,51.4,293315,58094,7677,3453,14270,31.3,10702,3269,64,7433,19.8,IN,0.4,0.59,18,0.31,0.65,New member,NA
"Congressional District 4 (118th Congress), Indiana",Indiana,Jim Baird,Republican ,4,5001800US1804,Midwest,NE Central,0.6895078179359598,0.5970576926291857,51.3,288975,60246,7218,3883,11968,31.7,9279,3018,53,6261,20.8,IN,0.4,0.59,18,0.3,0.65,NA,NA
"Congressional District 5 (118th Congress), Indiana",Indiana,Victoria Spartz,Republican ,5,5001800US1805,Midwest,NE Central,0.7000962444198714,0.599042684877847,52.6,294918,63787,7019,4176,14239,33.0,9219,2740,52,6479,21.6,IN,0.4,0.59,18,0.38,0.56999999999999995,NA,NA
"Congressional District 6 (118th Congress), Indiana",Indiana,Jefferson Shreve,Republican ,6,5001800US1806,Midwest,NE Central,0.7025075115714173,0.5960018997452614,52.0,291540,59111,7141,4248,12323,31.7,10139,3302,59,6837,20.3,IN,0.4,0.59,18,0.32,0.64,New member,NA
"Congressional District 7 (118th Congress), Indiana",Indiana,André Carson,Democratic ,7,5001800US1807,Midwest,NE Central,0.7079877331241308,0.6452034407737526,37.1,309007,38138,6787,3979,22440,26.2,10617,5056,55,5561,12.3,IN,0.4,0.59,18,0.68,0.28999999999999998,NA,NA
"Congressional District 8 (118th Congress), Indiana",Indiana,Mark Messmer,Republican ,8,5001800US1808,Midwest,NE Central,0.6605030317825826,0.5730060259986316,50.7,303662,51621,8017,4824,13337,28.8,8537,2659,52,5878,17.0,IN,0.4,0.59,18,0.28999999999999998,0.68,New member,NA
"Congressional District 9 (118th Congress), Indiana",Indiana,Erin Houchin,Republican ,9,5001800US1809,Midwest,NE Central,0.6787532309964657,0.5795986461123855,48.7,297694,50765,7987,4488,11107,28.5,8358,2637,48,5721,17.1,IN,0.4,0.59,18,0.33,0.64,NA,NA
"Congressional District 1 (118th Congress), Iowa",Iowa,Mariannette Miller-Meeks,Republican ,1,5001800US1901,Midwest,NW Central,0.6904878033529055,0.613698766291046,50.5,322221,58670,7821,4371,14544,28.5,9499,2810,53,6689,18.2,IA,0.43,0.56,19,0.5,0.5,NA,NA
"Congressional District 2 (118th Congress), Iowa",Iowa,Ashley Hinson,Republican ,2,5001800US1902,Midwest,NW Central,0.7068222173862306,0.625945872247597,51.9,327250,59209,8757,4233,12620,27.7,10904,3313,63,7591,18.1,IA,0.43,0.56,19,0.42,0.56999999999999995,NA,NA
"Congressional District 3 (118th Congress), Iowa",Iowa,Zach Nunn,Republican ,3,5001800US1903,Midwest,NW Central,0.7428535521978288,0.6427420554653397,51.1,322156,65726,8440,4771,15344,31.5,10021,2334,54,7687,20.4,IA,0.43,0.56,19,0.48,0.52,NA,NA
"Congressional District 4 (118th Congress), Iowa",Iowa,Randy Feenstra,Republican ,4,5001800US1904,Midwest,NW Central,0.6997295450929747,0.6094674182096375,50.4,318512,57428,8638,3679,12640,27.7,10000,2895,58,7105,18.0,IA,0.43,0.56,19,0.33,0.67,NA,NA
"Congressional District 1 (118th Congress), Kansas",Kansas,Tracey Mann,Republican ,1,5001800US2001,Midwest,NW Central,0.7077546625288847,0.6215399751952164,49.0,290320,53618,6530,3730,11509,28.0,10322,2781,61,7541,18.5,KS,0.41,0.57,20,0.31,0.69,NA,NA
"Congressional District 2 (118th Congress), Kansas",Kansas,Derek Schmidt,Republican ,2,5001800US2002,Midwest,NW Central,0.6698919641365484,0.5855536416297387,49.6,285337,52591,7255,4161,14251,30.8,10260,3546,64,6714,18.4,KS,0.41,0.57,20,0.38,0.56999999999999995,New member,NA
"Congressional District 3 (118th Congress), Kansas",Kansas,Sharice Davids,Democratic ,3,5001800US2003,Midwest,NW Central,0.7657663007219927,0.6524575443942955,55.8,289178,67052,4608,3980,10471,32.0,8892,1691,52,7201,23.2,KS,0.41,0.57,20,0.53,0.43,NA,NA
"Congressional District 4 (118th Congress), Kansas",Kansas,Ron Estes,Republican ,4,5001800US2004,Midwest,NW Central,0.6955296722982146,0.6003631046836346,50.0,283800,54788,7172,4234,13787,31.2,10315,3313,62,7002,19.3,KS,0.41,0.57,20,0.35,0.65,NA,NA
"Congressional District 1 (118th Congress), Kentucky",Kentucky,James Comer Jr.,Republican ,1,5001800US2101,South,SE Central,0.6122684135382548,0.5141619274389804,49.6,294051,50436,7236,3795,15423,30.0,9465,3270,58,6195,17.2,KY,0.34,0.65,21,0.25,0.75,NA,NA
"Congressional District 2 (118th Congress), Kentucky",Kentucky,Brett Guthrie,Republican ,2,5001800US2102,South,SE Central,0.6560121868423986,0.5546506332622742,51.1,288615,54688,8134,4650,13173,32.1,8895,3309,52,5586,18.9,KY,0.34,0.65,21,0.27,0.73,NA,NA
"Congressional District 3 (118th Congress), Kentucky",Kentucky,Morgan McGarvey,Democratic ,3,5001800US2103,South,SE Central,0.7067833318894569,0.6178139491715819,42.4,315064,43684,6483,3986,20675,26.7,9329,3653,53,5676,13.9,KY,0.34,0.65,21,0.62,0.38,NA,NA
"Congressional District 4 (118th Congress), Kentucky",Kentucky,Thomas Massie,Republican ,4,5001800US2104,South,SE Central,0.6904540178691931,0.5952695886860265,51.9,285352,58986,7182,4254,12187,32.9,9317,2432,55,6885,20.7,KY,0.34,0.65,21,--,1,NA,NA
"Congressional District 5 (118th Congress), Kentucky",Kentucky,Hal Rogers,Republican ,5,5001800US2105,South,SE Central,0.49151524003638225,0.4358597411843814,49.5,285781,49493,6047,4368,13529,31.4,8072,2643,51,5429,17.3,KY,0.34,0.65,21,--,1,NA,NA
"Congressional District 6 (118th Congress), Kentucky",Kentucky,Andy Barr,Republican ,6,5001800US2106,South,SE Central,0.6836388969126468,0.596279060767601,47.8,300239,52249,7917,3900,13398,29.4,9141,3033,49,6108,17.4,KY,0.34,0.65,21,0.37,0.63,NA,NA
"Congressional District 1 (118th Congress), Louisiana",Louisiana,Steve Scalise,Republican ,1,5001800US2201,South,SW Central,0.6768557195250323,0.572565575472351,49.0,301725,55243,7577,4086,16269,30.8,9440,3309,55,6131,18.3,LA,0.38,0.6,22,0.24,0.67,NA,NA
"Congressional District 2 (118th Congress), Louisiana",Louisiana,Troy Carter,Democratic ,2,5001800US2202,South,SW Central,0.625753448970258,0.5791076651655137,32.6,297804,28978,7398,3848,26742,26.9,10595,6776,56,3819,9.7,LA,0.38,0.6,22,0.6,0.14000000000000001,NA,NA
"Congressional District 3 (118th Congress), Louisiana",Louisiana,Clay Higgins,Republican ,3,5001800US2203,South,SW Central,0.6585617362147322,0.544573624587611,47.7,294796,53920,7502,3790,18504,32.2,10957,4723,61,6234,18.3,LA,0.38,0.6,22,0.19,0.71,NA,NA
"Congressional District 4 (118th Congress), Louisiana",Louisiana,Mike Johnson,Republican ,4,5001800US2204,South,SW Central,0.595838199312761,0.5008326541049368,43.3,296499,44688,6980,3995,22358,30.9,9120,4341,52,4779,15.1,LA,0.38,0.6,22,--,0.86,NA,NA
"Congressional District 5 (118th Congress), Louisiana",Louisiana,Julia Letlow,Republican ,5,5001800US2205,South,SW Central,0.5520875968814567,0.5207236493410127,40.9,281328,42065,6183,4319,23650,31.6,10853,6083,62,4770,15.0,LA,0.38,0.6,22,0.26,0.63,NA,NA
"Congressional District 6 (118th Congress), Louisiana",Louisiana,Cleo Fields,Republican ,6,5001800US2206,South,SW Central,0.7084770955657338,0.5891962765494699,47.7,293112,56352,8075,3533,16337,32.0,9450,3104,48,6346,19.2,LA,0.38,0.6,22,0.51,0.38,New member,NA
"Congressional District 1 (118th Congress), Maine",Maine,Chellie Pingree,Democratic ,1,5001800US2301,Northeast,New England,0.6966820567233518,0.6155929429744186,51.2,289515,47481,6225,2890,8849,24.7,6486,1375,44,5111,16.4,ME,0.52,0.45,23,0.59,0.36,NA,NA
"Congressional District 2 (118th Congress), Maine",Maine,Jared Golden,Democratic ,2,5001800US2302,Northeast,New England,0.6192641221482166,0.5606452966321733,49.2,290657,40501,8456,3414,9976,23.8,8045,2989,57,5056,13.9,ME,0.52,0.45,23,0.5,0.5,NA,NA
"Congressional District 1 (118th Congress), Maryland",Maryland,Andrew Harris,Republican ,1,5001800US2401,South,South Atlantic,0.6832656675793676,0.5964371997531347,51.9,299027,54368,6941,3234,14134,29.5,8360,2532,50,5828,18.2,MD,0.62,0.35,24,0.37,0.6,NA,NA
"Congressional District 2 (118th Congress), Maryland",Maryland,John Olszewski Jr.,Democratic ,2,5001800US2402,South,South Atlantic,0.7094317695271882,0.628013860147264,48.1,297938,55421,5363,3908,15316,29.6,8492,2416,47,6076,18.6,MD,0.62,0.35,24,0.57999999999999996,0.4,New member,NA
"Congressional District 3 (118th Congress), Maryland",Maryland,Sarah Elfreth,Democratic ,3,5001800US2403,South,South Atlantic,0.7490898712711271,0.6417359481791288,54.2,286235,67757,4349,2796,13272,33.4,8292,1512,46,6780,23.7,MD,0.62,0.35,24,0.59,0.38,New member,NA
"Congressional District 4 (118th Congress), Maryland",Maryland,Glenn Ivey,Democratic ,4,5001800US2404,South,South Atlantic,0.7483170741718773,0.6634608977633654,37.7,270300,39679,7945,3699,19461,31.7,10506,4721,55,5785,14.7,MD,0.62,0.35,24,0.89,0.11,NA,NA
"Congressional District 5 (118th Congress), Maryland",Maryland,Steny Hoyer,Democratic ,5,5001800US2405,South,South Atlantic,0.7348041647659733,0.6529314618607551,50.1,278426,61500,5797,3624,14731,34.5,9956,3146,55,6810,22.1,MD,0.62,0.35,24,0.68,0.32,NA,NA
"Congressional District 6 (118th Congress), Maryland",Maryland,April McClain-Delaney,Democratic ,6,5001800US2406,South,South Atlantic,0.7101476008789388,0.6197952457305744,51.6,287775,63726,7239,3997,13844,34.0,9693,2642,54,7051,22.1,MD,0.62,0.35,24,0.53,0.47,New member,NA
"Congressional District 7 (118th Congress), Maryland",Maryland,Kweisi Mfume,Democratic ,7,5001800US2407,South,South Atlantic,0.6574465342637074,0.6006736819331847,29.9,314599,29247,7049,3666,24924,25.0,9867,4809,50,5058,9.3,MD,0.62,0.35,24,0.8,0.17,NA,NA
"Congressional District 8 (118th Congress), Maryland",Maryland,Jamie Raskin,Democratic ,8,5001800US2408,South,South Atlantic,0.7468407395284645,0.6387916731882923,53.7,283824,69171,3545,3278,11081,33.0,8925,1826,51,7099,24.4,MD,0.62,0.35,24,0.77,0.21,NA,NA
"Congressional District 1 (118th Congress), Massachusetts",Massachusetts,Richard Neal,Democratic ,1,5001800US2501,Northeast,New England,0.6501129470619221,0.5857799129259871,44.5,315955,44499,8869,3627,19883,27.1,8619,3412,49,5207,14.1,MA,0.61,0.36,25,0.62,--,NA,NA
"Congressional District 2 (118th Congress), Massachusetts",Massachusetts,Jim McGovern,Democratic ,2,5001800US2502,Northeast,New England,0.7009075135933539,0.6210006271126814,46.7,296032,57360,6536,3718,13726,29.7,7852,2233,43,5619,19.4,MA,0.61,0.36,25,0.69,--,NA,NA
"Congressional District 3 (118th Congress), Massachusetts",Massachusetts,Lori Trahan,Democratic ,3,5001800US2503,Northeast,New England,0.7150545257676145,0.6424215464506217,47.4,289599,58118,7949,3572,16243,33.0,9946,3634,55,6312,20.1,MA,0.61,0.36,25,0.97,--,NA,NA
"Congressional District 4 (118th Congress), Massachusetts",Massachusetts,Jake Auchincloss,Democratic ,4,5001800US2504,Northeast,New England,0.725452962014707,0.6309209925407215,51.9,299058,66027,5471,3262,13244,32.0,7895,1970,44,5925,22.1,MA,0.61,0.36,25,0.97,--,NA,NA
"Congressional District 5 (118th Congress), Massachusetts",Massachusetts,Katherine Clark,Democratic ,5,5001800US2505,Northeast,New England,0.7431134584889253,0.6492090128251091,49.9,306031,66507,3768,2763,9744,28.7,7797,708,40,7089,21.7,MA,0.61,0.36,25,0.98,--,NA,NA
"Congressional District 6 (118th Congress), Massachusetts",Massachusetts,Seth Moulton,Democratic ,6,5001800US2506,Northeast,New England,0.7233399814200053,0.634939407344546,52.3,302561,64356,4286,2396,12886,30.1,8224,1749,48,6475,21.3,MA,0.61,0.36,25,0.98,--,NA,NA
